state_id,state_name,mandi_id,mandi_name,first_enam_trade_date
695,KARNATAKA,5012,CHANNAGIRI ,2023-03-01
695,KARNATAKA,5014,APMC YARD SAUNDATTI,2023-03-01
695,KARNATAKA,5015,APMC TIPTUR,2023-03-01
694,KERALA,1357,ARWM MUVATTUPUZHA,2020-05-01
694,KERALA,1362,ARWM NEDUMANGAD,2020-05-01
694,KERALA,1361,ARWM SULTAN BARTHERY,2020-05-01
20,MADHYA PRADESH,406,AGAR,2018-10-01
694,KERALA,1359,AUWM ANAYARA,2020-05-01
694,KERALA,1360,AUWM VENGERI,2020-05-01
694,KERALA,1358,AUWM MARADU,2020-05-01
20,MADHYA PRADESH,4063,ALIRAJPUR,2022-07-01
20,MADHYA PRADESH,3912,AMARPATAN,2022-07-01
20,MADHYA PRADESH,4165,ANUPPUR,2022-07-01
20,MADHYA PRADESH,133,ASHOKNAGAR,2018-10-01
20,MADHYA PRADESH,4057,ARON,2022-07-01
20,MADHYA PRADESH,334,ASHTA,2018-10-01
20,MADHYA PRADESH,400,BADNAGAR,2018-10-01
20,MADHYA PRADESH,396,BADNAWAR,2018-10-01
20,MADHYA PRADESH,3928,BADA MALHERA,2022-07-01
20,MADHYA PRADESH,4058,BADARWAS,2022-07-01
20,MADHYA PRADESH,466,BALAGHAT,2018-10-01
20,MADHYA PRADESH,387,BARELI,2018-10-01
20,MADHYA PRADESH,3914,BAIKUNTHPUR,2022-07-01
20,MADHYA PRADESH,4085,BANKHEDI,2022-07-01
20,MADHYA PRADESH,3915,BARWANI,2022-07-01
20,MADHYA PRADESH,134,BETUL,2018-10-01
20,MADHYA PRADESH,386,BERASIA,2018-10-01
20,MADHYA PRADESH,4064,BEOHARI,2022-07-01
20,MADHYA PRADESH,390,BIAORA,2018-10-01
20,MADHYA PRADESH,411,BINA,2018-10-01
20,MADHYA PRADESH,4065,BHIND,2022-07-01
20,MADHYA PRADESH,399,BURHANPUR,2018-10-01
20,MADHYA PRADESH,465,CHHATARPUR,2018-10-01
20,MADHYA PRADESH,4164,CHAKGHAT,2022-07-01
20,MADHYA PRADESH,4091,CHAURAI,2022-07-01
20,MADHYA PRADESH,3916,CHHAPARA,2022-07-01
20,MADHYA PRADESH,135,CHHINDWARA,2018-10-01
